# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	26306
#@/user_id	629635a7-ef29-4691-9c28-b172d0142dcc
a 	啊	c=7 d=0.0414783 t=26306
bai ke 	百科	c=1 d=1.55779e-09 t=26306
bai se 	白色	c=1 d=3.06789e-41 t=26306
bai tiao 	白條	c=2 d=3.19254e-43 t=26306
bai tuo 	擺脫	c=1 d=6.80798e-07 t=26306
bai xian 	白線	c=1 d=1.81513e-43 t=26306
bai zhan ting 	拜占庭	c=1 d=1.24367e-36 t=26306
bai zhi 	白紙	c=1 d=1.85438e-30 t=26306
ban 	半	c=2 d=4.19877e-19 t=26306
ban 	板	c=4 d=1.81456 t=26306
ban 	版	c=14 d=0.00101529 t=26306
ban be 	版别	c=1 d=1.25616e-36 t=26306
ban ben 	版本	c=31 d=0.255729 t=26306
ban ben de 	版本的	c=1 d=1.58268e-19 t=26306
ban ben de ba 	版本的吧	c=1 d=5.39319e-31 t=26306
ban ben er 	扳本兒	c=1 d=3.06111e-15 t=26306
ban ben geng xin 	版本更新	c=1 d=8.67972e-41 t=26306
ban ben hao 	版本號	c=2 d=1.00213e-53 t=26306
ban ben jian rong 	版本兼容	c=1 d=7.27881e-29 t=26306
ban ben kong zhi 	版本控制	c=2 d=4.28619e-54 t=26306
ban ben xiang hou jian rong 	版本向後兼容	c=1 d=2.62604e-35 t=26306
ban ben xin xi 	版本信息	c=1 d=3.90416e-24 t=26306
ban chang 	班長	c=0 d=2.36759e-23 t=26306
ban de rui 	班的瑞	c=2 d=8.96415e-38 t=26306
ban er 	伴兒	c=0 d=1.91477e-55 t=26306
ban er bu 	伴兒不	c=1 d=1.92436e-54 t=26306
ban ge 	半個	c=2 d=2.825e-12 t=26306
ban jiao 	半角	c=1 d=2.28686e-55 t=26306
ban li 	板栗	c=1 d=0.00970611 t=26306
ban lian jie 	半連接	c=1 d=5.68554e-05 t=26306
ban tian 	半天	c=1 d=4.06072e-16 t=26306
ban tou ming 	半透明	c=1 d=1.52083e-50 t=26306
ban yun 	搬運	c=1 d=2.50657e-46 t=26306
bang ding 	綁定	c=6 d=1.62136e-10 t=26306
bang ding le 	綁定了	c=1 d=6.38802e-52 t=26306
bang ding zai 	綁定在	c=1 d=1.62949e-09 t=26306
bang ni 	幫你	c=0 d=0.0257947 t=26306
bang yang 	榜樣	c=0 d=3.54226e-57 t=26306
bang yang de li liang 	榜樣的力量	c=1 d=3.56002e-56 t=26306
bang zhu 	幫助	c=9 d=0.20727 t=26306
bang zhu ni 	幫助你	c=1 d=3.84395e-47 t=26306
bang zhu wen dang 	幫助文檔	c=3 d=1.79199e-17 t=26306
bao 	保	c=1 d=0.000103597 t=26306
bao 	包	c=44 d=2.88002 t=26306
bao 	報	c=5 d=1.70189e-13 t=26306
bao 	寶	c=1 d=4.07401e-25 t=26306
bao ben xiao 	報本校	c=1 d=1.21069e-14 t=26306
bao chi 	保持	c=0 d=8.43952e-06 t=26306
bao chi lian jie 	保持連接	c=1 d=8.48182e-05 t=26306
bao cun 	保存	c=7 d=8.54755e-39 t=26306
bao cun zai 	保存在	c=2 d=8.62284e-50 t=26306
bao cuo 	報錯	c=20 d=3.12499 t=26306
bao dian 	寶典	c=1 d=4.43454e-52 t=26306
bao fa 	爆發	c=0 d=2.13493e-12 t=26306
bao gao 	報告	c=8 d=3.05204e-29 t=26306
bao guan li gong ju 	包管理工具	c=1 d=1.44592e-44 t=26306
bao guo 	包裹	c=2 d=2.22857e-16 t=26306
bao guo lv 	包過濾	c=1 d=0.00106186 t=26306
bao guo lv lu you qi 	包過濾路由器	c=2 d=0.00218806 t=26306
bao guo lv lu you qi mo xing 	包過濾路由器模型	c=1 d=0.00101791 t=26306
bao han 	包含	c=21 d=0.97531 t=26306
bao han de 	包含的	c=1 d=3.19972e-36 t=26306
bao han zai 	包含在	c=1 d=2.71395e-40 t=26306
bao hu 	保護	c=2 d=8.08767e-05 t=26306
bao hu nei bu wang 	保護內部網	c=1 d=0.000812821 t=26306
bao jiao huan wang luo 	包交換網絡	c=1 d=4.19094e-05 t=26306
bao jing 	報警	c=1 d=0.000166156 t=26306
bao kuo 	包括	c=10 d=0.779586 t=26306
bao kuo bu xian yu 	包括不限於	c=1 d=4.51874e-38 t=26306
bao kuo zhu shi 	包括註釋	c=1 d=1.11007e-52 t=26306
bao lei 	堡壘	c=1 d=0.00110269 t=26306
bao lei zhu ji 	堡垒主机	c=4 d=0.00410448 t=26306
bao liu 	保留	c=2 d=1.9158e-31 t=26306
bao liu liang ge kong hang 	保留兩個空行	c=1 d=1.11564e-52 t=26306
bao liu zi 	保留字	c=2 d=0.0840177 t=26306
bao lu 	暴露	c=0 d=7.84413e-57 t=26306
bao mi 	保密	c=1 d=4.64686e-14 t=26306
bao mi xing 	保密性	c=1 d=2.11261e-05 t=26306
bao ming 	包名	c=2 d=3.20575e-56 t=26306
bao ming 	報名	c=12 d=3.59109e-12 t=26306
bao po 	爆破	c=1 d=0.00683978 t=26306
bao shang 	報上	c=1 d=2.55321e-57 t=26306
bao tou 	報頭	c=1 d=0.000112036 t=26306
bao tou 	抱頭	c=1 d=2.43008e-05 t=26306
bao wei 	包圍	c=2 d=1.45722e-19 t=26306
bao wei zi dian 	包圍字典	c=1 d=2.31984e-47 t=26306
bao wen 	保溫	c=1 d=2.87491e-12 t=26306
bao wen 	報文	c=1 d=2.9038e-12 t=26306
bao wen ge shi 	報文格式	c=1 d=2.88932e-12 t=26306
bao wen jian 	包文件	c=1 d=1.12451e-57 t=26306
bao xia ling ying 	包夏令營	c=1 d=6.85376e-27 t=26306
bao yan 	保研	c=18 d=0.00953009 t=26306
bao yan bi li 	保研比例	c=2 d=2.1247e-23 t=26306
bao yan lu shang 	保研路上	c=1 d=1.46657e-05 t=26306
bao yan qu xiang 	保研去向	c=1 d=2.25059e-14 t=26306
bao zha 	爆炸	c=2 d=0.018043 t=26306
bao zheng 	保證	c=5 d=2.37849e-39 t=26306
bao zhuang 	包裝	c=0 d=3.4945e-15 t=26306
bao zhuang you xian gong si 	包裝有限公司	c=1 d=3.51202e-14 t=26306
bei 	北	c=1 d=6.3828e-13 t=26306
bei 	唄	c=2 d=9.25476e-31 t=26306
bei 	背	c=2 d=2.35987e-13 t=26306
bei 	被	c=23 d=0.651192 t=26306
bei da 	北大	c=12 d=6.62044e-09 t=26306
bei da shen zhen 	北大深圳	c=3 d=1.41596e-20 t=26306
bei da xin ke 	北大信科	c=1 d=3.03426e-29 t=26306
bei diao yong 	被調用	c=1 d=1.80454e-33 t=26306
bei ding yi 	被定義	c=1 d=4.05218e-50 t=26306
bei e si le 	被餓死了	c=1 d=0.802519 t=26306
bei fen 	備份	c=4 d=3.7357e-06 t=26306
bei fen fu wu qi 	備份服務器	c=1 d=3.75439e-05 t=26306
bei gong ji zhu ji 	被攻擊主機	c=1 d=7.98788e-05 t=26306
bei hang 	北航	c=25 d=6.04405e-08 t=26306
bei he bing 	被合併	c=1 d=3.98222e-51 t=26306
bei jing 	北京	c=6 d=9.99033e-09 t=26306
bei jing 	背景	c=5 d=2.90835e-11 t=26306
bei jing hu kou 	北京戶口	c=1 d=1.35894e-20 t=26306
bei jing jiao tong 	北京交通	c=1 d=9.73454e-08 t=26306
bei jing tu 	背景圖	c=5 d=1.18697e-27 t=26306
bei jing yin yue 	背景音樂	c=1 d=1.02598e-37 t=26306
bei kao 	備考	c=1 d=5.41452e-48 t=26306
bei li gong 	北理工	c=5 d=1.86013e-12 t=26306
bei luan 	悖亂	c=0 d=6.11253e-05 t=26306
bei qiang 	被搶	c=1 d=6.11129e-31 t=26306
bei shi yong 	被使用	c=2 d=2.63293e-07 t=26306
bei shu 	倍數	c=2 d=0.000157671 t=26306
bei su 	倍速	c=2 d=2.52745e-26 t=26306
bei tai 	備胎	c=0 d=2.21136e-14 t=26306
bei tai chi 	備胎池	c=1 d=2.22244e-13 t=26306
bei xiu gai 	被修改	c=1 d=2.74086e-17 t=26306
bei you 	備有	c=1 d=3.71185e-18 t=26306
bei you 	北郵	c=11 d=2.34658e-14 t=26306
bei zhi xing 	被執行	c=1 d=9.76414e-51 t=26306
bei zhu 	備註	c=1 d=2.72199e-16 t=26306
ben 	本	c=4 d=0.00752165 t=26306
ben bu fen 	本部分	c=1 d=9.71272e-11 t=26306
ben ci 	本次	c=1 d=2.61028e-23 t=26306
ben di 	本地	c=17 d=0.088692 t=26306
ben di she zhi 	本地設置	c=1 d=8.32776e-54 t=26306
ben di shi bie 	本地識別	c=1 d=1.11989e-38 t=26306
ben di wen jian 	本地文件	c=2 d=7.31903e-35 t=26306
ben gai 	本該	c=0 d=5.71677e-41 t=26306
ben gai shi 	本該是	c=1 d=5.74542e-40 t=26306
ben gong ju 	本工具	c=1 d=3.52771e-37 t=26306
ben han shu 	本函數	c=1 d=7.90949e-36 t=26306
ben jiao ben 	本腳本	c=1 d=2.21557e-06 t=26306
ben ke 	本科	c=1 d=1.54628e-10 t=26306
ben ke kai fang ri 	本科開放日	c=1 d=1.51355e-23 t=26306
ben lai 	本來	c=2 d=3.41472e-07 t=26306
ben lai xiang zai 	本來想在	c=1 d=4.11635e-29 t=26306
ben lun 	本輪	c=1 d=2.35651e-55 t=26306
ben ren 	本人	c=1 d=1.80148e-13 t=26306
ben ren yong de 	本人用的	c=1 d=1.55134e-19 t=26306
ben shen 	本身	c=3 d=0.00354373 t=26306
ben shen jiu 	本身就	c=0 d=2.69307e-09 t=26306
ben shen jiu you yi yi 	本身就有意義	c=1 d=2.70657e-08 t=26306
ben shen ti gong de 	本身提供的	c=1 d=0.0356146 t=26306
ben wen 	本文	c=16 d=0.121298 t=26306
ben wen jiang tao lun 	本文將討論	c=1 d=1.61103e-22 t=26306
ben wen zhu yao 	本文主要	c=1 d=0.0290133 t=26306
ben xiang mu 	本項目	c=6 d=2.33008e-30 t=26306
ben xiao 	本校	c=4 d=0.0127148 t=26306
ben xing 	本性	c=1 d=4.05576e-31 t=26306
ben ye 	本頁	c=1 d=2.45359e-30 t=26306
ben zhi 	本質	c=2 d=1.03491e-18 t=26306
ben zhi cha bie 	本質差別	c=1 d=1.03971e-17 t=26306
ben zhi shang 	本質上	c=6 d=9.09683e-05 t=26306
ben zhi shi 	本質是	c=1 d=3.89342e-21 t=26306
bi 	比	c=9 d=0.183601 t=26306
bi de 	彼得	c=0 d=2.97874e-48 t=26306
bi ji 	筆記	c=12 d=0.349938 t=26306
bi jia 	比價	c=1 d=1.36079e-36 t=26306
bi jian 	比肩	c=0 d=3.52411e-26 t=26306
bi jian man 	比肩慢	c=1 d=3.54177e-25 t=26306
bi jiao 	比較	c=24 d=9.06179e-06 t=26306
bi jiao cha 	比較差	c=1 d=1.37161e-41 t=26306
bi jiao da 	比較大	c=1 d=2.48644e-10 t=26306
bi jiao de xu qiu 	比較的需求	c=1 d=6.09117e-51 t=26306
bi jiao hao 	比較好	c=0 d=1.10153e-21 t=26306
bi jiao hao de 	比較好的	c=1 d=1.10705e-20 t=26306
bi jiao ji ke 	比較即可	c=1 d=2.18252e-35 t=26306
bi jiao jian dan 	比較簡單	c=1 d=4.6982e-55 t=26306
bi jiao min gan 	比較敏感	c=1 d=9.05145e-05 t=26306
bi jiao qiang 	比較強	c=1 d=5.01373e-55 t=26306
bi jiao xi huan 	比較喜歡	c=1 d=9.9586e-11 t=26306
bi jiao yun suan fu 	比較運算符	c=2 d=5.37678e-51 t=26306
bi jiao zi fu chuan 	比較字符串	c=1 d=2.92492e-09 t=26306
bi jing 	畢竟	c=0 d=1.23852e-47 t=26306
bi jing dou zhi dao shi zi fu chuan le 	畢竟鬥志倒是字符串了	c=1 d=1.24472e-46 t=26306
